GRB	<a href="/archive/grb_table/swgrbtable_help.html#bat_t90">BAT T90 [sec]</a>	<a href="/archive/grb_table/swgrbtable_help.html#redshift">Redshift</a>
110205A	257	1.98 (Lick: absorption, possible)|2.22 (FLWO: absorption, host)| 2.22 (NOT: absorption)
110128A	30.7	2.339 (VLT: absorption)
101225A	1088.0	0.847(arXiv:1302.2352v1)|0.40 (Keck I: emission)
101219B	34	0.5519 (ESO-VLT: tentative redshift)
101219A	0.6	0.718 (Gemini-North: emission, host)
100906A	114.4	1.727 (Gemini-North: absorption)
100902A	428.8	4.5 (Swift XRT: tentative redshift)
100901A	439	1.408 (Gemini-North: absorption, host redshift)
100816A	2.9	0.8034 (VLT: emission and absorption)|0.8035 (Gemini-North: absorption)|0.8049 (GTC: absorption)
100814A	174.5	1.44 (Magellan: absorption)
100728B	12.1	~2.8 (UVOT: photometric)|2.106 (VLT: absorption)
100728A	198.5	1.567 (VLT: emission, host)
100724A	1.4	1.288 (VLT: absorption)
100704A	197.5	3.6 (Swift: tentative redshift)
100621A	63.6	0.542 (VLT: emission)
100615A	39	1.398 (VLT: emission, host)
100513A	84	4.772 (Gemini North: absorption)
100425A	37.0	1.755 (VLT: absorption)
100424A	104	2.465 (VLT: emission, host)
100418A	7.0	0.6235 (VLT: absorption)|0.624 (Gemini North: absorption)
100413A	191	3.9 (Swift-XRT: tentative)
100316D	n/a	0.014
100316B	3.8	1.180 (VLT: absorption)
100302A	17.9	4.813 (Gemini-North: absorption)
100219A	18.8	4.5 (MPI/ESO: photometric)|4.6667 (VLT: absorption)|4.7 (Gemini South: absorption)
091208B	14.9	1.063 (Gemini North: absorption)|1.0633 (Keck I: absorption)
091127	7.1	0.490 (Gemini-North: emission)|0.49034 (VLT: emission)
091109A	48	3.5 (ESO/MPI: photometric)|3.076 (VLT: absorption)
091029	39.2	2.752 (Gemini-South: absorption)
091024	109.8	1.092 (Gemini-North)|1.091 (Keck I: absorption)
091020	34.6	1.71 (NOT)
091018	4.4	0.971 (Magellan Clay: absorption)|0.9710 (VLT: absorption)
090927	2.2	1.37 (VLT: absorption)
090926B	109.7	1.24 (VLT: emission & absorption)
090814A	80	0.696 < z < 2.2 (VLT: absorption)
090812	66.7	2.452 (VLT: absorption)
090809	5.4	2.737 (VLT)
090726	67.0	2.71 (SAO RAS: absoption)
090715B	266	3.00 (WHT)
090618	113.2	0.54 (Lick: absorption)|0.54 (SAO RAS: emission)
090530	48	~1.266 (VLT)
090529	>100	2.625 (VLT: absorption)
090519	64	3.9 (ESO/MPI: photometric)|3.85 (VLT: absorption)
090516A	210	4.109 (VLT: absorption)|4.1 (ESO/MPI: photometric)
090510	0.3	0.903 (VLT: emission)
090426	1.2	2.609 (Keck-I: absorption)|2.609 (VLT: absorption)
090424	48	0.544 (Gemini-South: absorption)|0.544 (WHT)
090423	10.3	8.0 (MPI/ESO: photometric)|~8.1 (TNG)
090418A	56	1.608 (Lick: absorption)
090407	310	1.4485 (TOUGH: emission)
090313	79	3.375 (Gemini-South: absorption)|3.375 (VLT: absorption)|3.3721 (Melipal: absorption)
090205	8.8	4.7 (ESO/MPI: photometric)|4.6497 (VLT: absorption)
090113	9.1	1.7493 (TOUGH: emission)
090102	27.0	1.547 (NOT)|1.546 (Palomar 200": absorption)|1.55 (Hobby-Eberly: absorption)
081222	24	~2.7 (UVOT)|2.77 (Gemini-South: absorption)|2.77 (Gemini-North: absorption)
081221	34	2.26 (Salvaterra)
081203A	294	2.1 (UVOT: absorption)
081121	14	2.512 (Magellan/Clay: aborption)
081118	67	2.58 (VLT: absorption)
